day,campaign,channel,partner,ad,impr,clicks,spend,engagement,sales,revenue
2024-01-17,NewYearPush,Paid Social,TikTok,Countdown Offer,21295,364,219.6,656,11,998.78
2024-01-17,New Year Push,Paid Social,TikTok,Resolution Ready,385,18671,184.71,879,8,575.36
2024-01-17,New Year Push,Display,Google Display Network,Fresh Start,140768,636,546.76,841,9,673.53
2024-01-17,New Year Push,Display,GDN,Countdown Offer,142548,781,564.85,546,11,868.79
2024-01-17,new_year_push,Display,google display,Resolution Ready,144461,714,572.8100053770982,845,9,721.24
2024-01-17,new_year_push,Display,The Trade Desk,Fresh Start,86230,481,351.77,432,5,371.03
2024-01-17,New Year Push,Display,The Trade Desk,Countdown Offer,86099,467,342.79,328,4,300.23
2024-01-17,New Year Push,Display,The Trade Desk,Resolution Ready,82576,456,318.28,392,5,339.88
2024-01-17,New Year Push,Email,Mailchimp,Fresh Start,16510,3040,24.81,1671,153,15847.6
2024-01-17,New Year Push,eMail,Mailchimp,Countdown Offer,4453,19878,30.69,1482,184,18910.22
2024-01-17,New Year Push,eMail,Mailchimp,Resolution Ready,17296,3877,26.79,1630,133,12440.49
2024-01-17,NY Push,Email,Klaviyo,Fresh Start,13867,3306,21.73,1355,115,12524.14
2024-01-17,New Year Push,Email Marketing,Klaviyo,Countdown Offer,16538,3656,25.12,1631,197,17200.08
2024-01-17,New Year Push,Email,Klaviyo,Resolution Ready,15739,2911,23.37,1244,104,8753.16
2024-01-17,New Year Push,Video,YouTube,Fresh Start,898,96709,1674.15,27356,13,1493.070000553493
2024-01-17,NY Push,Video,YouTube,Countdown Offer,98765,839,1709.95,27874,10,1130.75
2024-01-17,New Year Push,Video,YouTube,Resolution Ready,106637,787,1918.35,22164,15,1575.94
2024-01-17,New Year Push,Video,Connected TV,Fresh Start,60170,443,1102.2500641195672,14716,6,547.0
2024-01-17,New Year Push,Video,Connected TV,Countdown Offer,51070,373,930.08,15675,5,538.1900005188609
2024-01-17,New Year,Video,CTV,Resolution Ready,53238,350,923.13,12375,6,646.31
2024-01-17,Brand Awareness,paid search,Google Ads,Hero Brand,39595,1958,891.66,417,91,9316.56
2024-01-17,Brand Awareness,Paid Search,GOOGLE,Our Story,36156,1504,827.9,541,117,15741.09
2024-01-17,Brand Awareness,Paid Search,Google,Why Choose Us,38555,1932,809.66,405,128,14209.12
2024-01-17,brand_awareness,Paid Search,BING,Hero Brand,10355,454,238.47,127,29,3175.92
2024-01-17,Brand Awareness,Paid Search,bing,Our Story,10633,564,242.77,104,31,3691.39
2024-01-17,Brand Awareness,SEM,Bing,Why Choose Us,9710,385,203.88,94,29,3765.71
2024-01-17,Brand Awareness,Paid Social,Facebook,Hero Brand,51349,1066,502.34,2319,29,2564.6000586376435
2024-01-17,Brand Awareness,PaidSocial,Facebook,Our Story,45718,767,475.13,1577,25,2212.16
2024-01-17,Brand Awareness,Paid Social,Facebook,Why Choose Us,44410,900,451.09,1939,17,1247.05
2024-01-17,Brand Awareness,PaidSocial,Insta,Hero Brand,31160,467,304.1300661951903,1306,11,1036.0
2024-01-17,Brand Awareness,Paid Social,Instagram,Our Story,551,36737,362.1,1541,14,1145.59
2024-01-17,Brand Awareness,Paid Social,Instagram,Why Choose Us,36086,735,347.2800682564649,1092,23,1705.31
2024-01-17,Brand Awareness,Social Ads,TikTok,Hero Brand,17657,318,172.56006625036377,802,8,672.44
2024-01-17,Brand Awareness,Paid Social,TikTok,Our Story,21356,388,215.0700568351481,777,7,620.19
2024-01-17,brand_awareness,Paid Social,TikTok,Why Choose Us,19999,410,190.51,828,11,873.36
2024-01-17,Brand Awareness,Display,Google Display Network,Hero Brand,133482,775,551.92,551,6,474.86
2024-01-17,Brand Awareness,Display,Google Display Network,Our Story,135652,667,567.31,710,5,410.74
2024-01-17,Brand Awareness,Display,Google Display Network,Why Choose Us,135546,787,532.69,756,10,818.8
2024-01-17,Brand Awareness,Display,The Trade Desk,Hero Brand,81404,364,310.92,436,3,187.2
2024-01-17,Brand Awareness,Display,The Trade Desk,Our Story,71825,417,283.89,340,4,328.18
2024-01-17,Brand Awareness,Display,The Trade Desk,Why Choose Us,87100,371,360.68,362,5,336.77
2024-01-17,Brand Awareness,Email,Mailchimp,Hero Brand,19462,4313,28.09,1588,173.0,18134.37
2024-01-17,Brand Awareness,email,MAILCHIMP,Our Story,17514,3922,25.300010109469362,1555,197,18983.790007943277
2024-01-17,Brand Awareness,Email,Mailchimp,Why Choose Us,18304,4377,27.39000014553628,1548,175,18092.71
2024-01-17,Brand Awareness,Email,Klaviyo,Hero Brand,16134,3527,24.04,1274,107,9784.32
2024-01-17,Brand Awareness,Email,Klaviyo,Our Story,14882,2814,22.74,1009,117,11668.56
2024-01-17,Brand Awareness,Email,Klaviyo,Why Choose Us,15103,2932,22.51,1490,121.0,10391.46
2024-01-17,Brand Awareness,Video,YouTube,Hero Brand,90953,833,1693.07,23460,11,969.77
2024-01-17,BrandAwareness,Video,YouTube,Our Story,89724,600,1551.6600253548932,22020,7,748.46
2024-01-17,Brand Awareness,Video,youtube,Why Choose Us,101516,740,1782.49,20473,11,992.05
2024-01-17,Brand Awareness,vid,ConnectedTV,Hero Brand,55864,395,973.6,13482,4,454.11
2024-01-17,BrandAwareness,Video,Connected TV,Our Story,51167,422,916.86,14158,7,663.68
2024-01-17,Brand Awareness,Video,Connected TV,Why Choose Us,59802,542,1042.76,12848,9,946.66
2024-01-18,New Year Push,Paid Search,Goog,Fresh Start,41103,1622,907.37,371,77,8191.22
2024-01-18,New Year Push,Paid Search,Google,Countdown Offer,37530,1845,856.1100131951774,555,121,14221.13
2024-01-18,New Year Push,Paid Search,Google,Resolution Ready,38811,2089,841.95,506,144,16456.740007512817
2024-01-18,New Year Push,PaidSearch,bing,Fresh Start,10139,403,212.21000169349603,98,17,2289.16
2024-01-18,New Year,Search,Bing,Countdown Offer,11561,476,258.120003964705,149,28.0,3428.95
2024-01-18,NY Push,Paid Search,Bing,Resolution Ready,465,11384,245.46,134,28,2830.02
2024-01-18,New Year,Paid Social,FACEBOOK,Fresh Start,44666,703,455.71,2090,17,1544.47
2024-01-18,New Year Push,Paid Social,Facebook,Countdown Offer,49551,796,498.95,2197,15,1048.41
2024-01-18,New Year Push,Paid Social,Facebook,Resolution Ready,50077,970,524.7800587881436,2234,28,2362.01
2024-01-18,New Year Push,Paid Social,Instagram,Fresh Start,33818,562,337.76,1276,15,1271.14
2024-01-18,New Year Push,Paid Social,Instagram,Countdown Offer,34814,698,347.72,1464,18,1441.46
2024-01-18,New Year Push,Paid Social,Insta,Resolution Ready,31908,484,331.62,1162,12,982.46
2024-01-18,New Year Push,Paid Social,TikTok,Fresh Start,361,21245,216.65,613,8,595.4300004772753
2024-01-18,New Year Push,Paid Social,tiktok,Countdown Offer,18500,300,179.81,846,7,591.58
2024-01-18,New Year Push,Paid Social,TikTok,Resolution Ready,20800,395,200.33,708,11,1026.42
2024-01-18,NewYearPush,DISPLAY,Google Display Network,Fresh Start,750,141358,578.7,811,10,794.42
2024-01-18,NewYearPush,Display,Google Display Network,Countdown Offer,134722,620,552.32,729,5.0,327.54
2024-01-18,New Year Push,Display,Google Display Network,Resolution Ready,134217,574,532.36,836,6,394.3400028767349
2024-01-18,New Year Push,DISPLAY,The Trade Desk,Fresh Start,71504,295,296.91,331,2,158.17
2024-01-18,New Year Push,Display,The Trade Desk,Countdown Offer,87820,365,335.95,423,4,255.23
2024-01-18,New Year Push,Display,The Trade Desk,Resolution Ready,74913,341,294.87,347,2,160.32
2024-01-18,New Year Push,Email,Mailchimp,Fresh Start,17359,3187,26.53,1434,147,14985.84
2024-01-18,New Year Push,Email,Mailchimp,Countdown Offer,4160,20267,30.27,1945,133,11258.41
2024-01-18,New Year,EMAIL,Mailchimp,Resolution Ready,18873,4365,29.58,1797,132,11171.93
01/18/2024,New Year Push,Email,Klaviyo,Fresh Start,15511,3692,24.220000282553737,1053,135,12732.62
18-01-2024,New Year Push,Email,Klaviyo,Countdown Offer,15063,3428,21.69,1326,129,11038.25
18-01-2024,New Year Push,Email,Klaviyo,Resolution Ready,16300,3347,24.24,1516,119,12483.5
2024-01-18,New Year Push,Video,YouTube,Fresh Start,96251,771,1660.66,22978,14,1368.3
2024-01-18,New Year Push,Video,YouTube,Countdown Offer,104024,727,1919.9,25487,9,1001.11
2024-01-18,New Year Push,Video,YouTube,Resolution Ready,758,97983,1756.42,29388,14,1368.78
2024-01-18,New Year,Video,Connected TV,Fresh Start,333,47799,818.22,14055,6,535.77
2024-01-18,New Year Push,Video,Connected TV,Countdown Offer,51485,483,895.62,10250,8,855.2100044223099
2024-01-18,New Year Push,Video,Connected TV,Resolution Ready,55709,510,958.42,15140,9,962.16
2024-01-18,Brand Awareness,Paid Search,Google,Hero Brand,37916,1615,825.98,496,103,11440.52
2024-01-18,Brand Awareness,PaidSearch,Google,Our Story,39935,2107,835.34,426,132,17540.68
2024-01-18,Brand Awareness,Paid Search,Google,Why Choose Us,39551,1784,844.47,485,129,15916.29
2024-01-18,Brand Awareness,Paid Search,Bing,Hero Brand,11148,584,252.16,127,29,3218.25
2024-01-18,Brand Awareness,Paid Search,BING,Our Story,9461,409,212.83,127,19,2572.87
2024-01-18,brand awareness,Paid Search,Bing,Why Choose Us,10092,396,223.17,122,28,2967.02
2024-01-18,Brand Awareness,Paid Social,Facebook,Hero Brand,43055,857,434.53,1424,25,2189.3
2024-01-18,Brand Awareness,Paid Social,Facebook,Our Story,54232,839,518.45,1929,23.0,1803.66
2024-01-18,Brand Awareness,paid social,Facebook,Why Choose Us,43287,821,416.63,1478,24,1940.34
2024-01-18,Brand Awareness,Paid Social,Instagram,Hero Brand,744,37252,390.74,1462,23,1958.28
2024-01-18,Brand Awareness,Paid Social,Instagram,Our Story,33650,626,331.4600600844839,1140,19,1658.42
2024-01-18,BrandAwareness,Paid Social,Instagram,Why Choose Us,34765,674,348.33,1154,15,1260.39
2024-01-18,Brand Awareness,paid social,tiktok,Hero Brand,20710,354,198.77,870,11,788.87
2024-01-18,Brand Awareness,Social,TikTok,Our Story,17201,352,171.6,636,8,661.17
2024-01-18,Brand Awareness,Paid Social,TikTok,Why Choose Us,19627,355,194.2,657,9,721.0500061108197
2024-01-18,Brand Awareness,display,Google Display Network,Hero Brand,129012,745,515.51,797,10,643.1800001702932
18-01-2024,Brand Awareness,Display,Google Display Network,Our Story,641,119181,459.06,656,9,573.75
2024-01-18,Brand Awareness,Display,Google Display,Why Choose Us,121867,603,499.48,744,6,490.56
2024-01-18,Brand Awareness,DISPLAY,The Trade Desk,Hero Brand,397,82182,316.26,425,3,193.53
2024-01-18,Brand Awareness,DISPLAY,The Trade Desk,Our Story,457,77751,304.89,386,6,385.62
2024-01-18,Brand Awareness,Display,The Trade Desk,Why Choose Us,81951,343,340.73,489,3,236.68
2024-01-18,Brand Awareness,Email,mailchimp,Hero Brand,3326,18335,27.09,1781,132,12949.74
2024-01-18,brand awareness,Email,Mailchimp,Our Story,18675,4486,28.8,1512,213,21096.47
01.18.2024,brand_awareness,Email,Mailchimp,Why Choose Us,19540,4110,29.20000016590839,1562,167,17793.98
2024-01-18,Brand Awareness,Email,Klaviyo,Hero Brand,14411,3352,21.97,1128,118,10972.520088592117
2024-01-18,Brand Awareness,Email,KLAVIYO,Our Story,15190,3715,23.670000181713313,1392,169,18005.17
2024-01-18,Brand Awareness,Email,Klaviyo,Why Choose Us,15790,3401,24.39,1429,148.0,12604.41
2024-01-18,Brand Awareness,Video,YouTube,Hero Brand,101487,721,1848.45,26873,8,833.2
2024-01-18,BrandAwareness,Video,YouTube,Our Story,92603,734,1733.01,19130,14.0,1290.8
2024-01-18,Brand Awareness,VIDEO,YouTube,Why Choose Us,88510,781,1552.6,24890,15,1504.4
2024-01-18,Brand Awareness,Video,ConnectedTV,Hero Brand,57848,480,1031.04,11395,9,786.71
2024-01-18,Brand Awareness,Video,Connected TV,Our Story,53065,411,989.5200033575131,12296,5,451.04
2024-01-18,Brand Awareness,VIDEO,Connected TV,Why Choose Us,343,48698,845.36,10900,4.0,384.35
2024-01-19,NewYearPush,Paid Search,Google,Fresh Start,36967,1497,822.58,404,66,6756.48
2024-01-19,New Year Push,Paid Search,Google,Countdown Offer,36809,1583,802.74,402,90,11664.18
2024-01-19,New Year Push,Paid Search,Goog,Resolution Ready,34369,1411,775.18,430,87,11043.31
2024-01-19,New Year Push,Paid Search,Bing Ads,Fresh Start,10369,410,218.1,122,24.0,2818.55
2024-01-19,New Year Push,Paid Search,Bing,Countdown Offer,10427,433,238.25,110,34,4222.75
2024-01-19,New Year Push,Paid Search,Bing,Resolution Ready,10014,469,226.59,108,27,2788.3
2024-01-19,New Year,Social Ads,Facebook,Fresh Start,50234,807,525.85,1787,27.0,2401.32
2024-01-19,New Year Push,Paid Social,Facebook,Countdown Offer,49087,859,511.070000347036,1820,15,1216.96
2024-01-19,New Year Push,PaidSocial,Facebook,Resolution Ready,52494,873,549.72,1496,28,2283.73
2024-01-19,New Year Push,PaidSocial,Instagram,Fresh Start,34231,691,338.21,1204,19,1597.8
2024-01-19,New Year Push,Social,Instagram,Countdown Offer,504,33528,343.3,1314,11,873.67
2024-01-19,New Year Push,Paid Social,INSTAGRAM,Resolution Ready,30419,476,305.91,1028,11,931.89
2024-01-19,New Year Push,paid social,TT,Fresh Start,21370,359,217.59,748,7,617.51
2024-01-19,New Year Push,Paid Social,tiktok,Countdown Offer,311,19038,199.58,666,7,591.14
2024-01-19,NY Push,paid_social,TT,Resolution Ready,17019,327,172.68,485,8,735.0
2024-01-19,New Year Push,Display,Google Display Network,Fresh Start,136575,661,567.890002544594,752,9,655.41
01/19/2024,NewYearPush,Display,Google Display Network,Countdown Offer,738,140182,537.04,536,10,757.07
2024-01-19,New Year Push,Display,Google Display Network,Resolution Ready,136561,646,563.33,794,7,455.19
2024-01-19,New Year Push,Display,The Trade Desk,Fresh Start,85545,458,325.36,419,6,424.82
2024-01-19,New Year Push,Display,The Trade Desk,Countdown Offer,75004,310,293.45,454,3,189.43
2024-01-19,New Year Push,Display,The Trade Desk,Resolution Ready,82564,383,337.45,357,4,276.16
2024-01-19,New Year Push,Email,MailChimp,Fresh Start,4198,17450,26.72,1222,144,15155.76
2024-01-19,New Year,Email,mail chimp,Countdown Offer,17960,4273,27.13,1468,185,18611.62
2024-01-19,New Year Push,Email,Mailchimp,Resolution Ready,18710,4187,28.25,1200,136,11352.39
2024-01-19,NY Push,Email,KLAVIYO,Fresh Start,3057,14201,20.72000032690389,1177,150,13068.8
2024-01-19,New Year Push,Email,Klaviyo,Countdown Offer,3884,15714,24.03,1309,138,13486.92
2024-01-19,New Year Push,Email,Klaviyo,Resolution Ready,14903,3622,22.67,1492,111.0,12058.63
2024-01-19,New Year Push,Video,YouTube,Fresh Start,98627,929,1735.17,27415,14,1368.65
2024-01-19,new_year_push,Video,YouTube,Countdown Offer,106482,969,1863.880053945523,24138,14,1406.09
2024-01-19,New Year Push,Video,YouTube,Resolution Ready,629,88344,1523.69,23336,7,764.86
2024-01-19,New Year,Video,ctv,Fresh Start,60174,468,1037.04,13426,5,481.05
2024-01-19,New Year Push,video,Connected TV,Countdown Offer,55613,380,999.03,16365,6,635.19
19-01-2024,New Year Push,online video,Connected TV,Resolution Ready,377,51834,896.42,11488,5,441.83
2024-01-19,Brand Awareness,Paid Search,Google,Hero Brand,36298,1846,833.98,495,122.0,15536.59
2024-01-19,brand_awareness,Paid Search,Google,Our Story,38945,1842,821.28,364,82,9133.99
2024-01-19,Brand Awareness,Paid Search,Google,Why Choose Us,40963,1589,867.62,594,95,10542.35
2024-01-19,Brand Awareness,Paid Search,Bing,Hero Brand,10986,426,245.98,135,23,2617.48
2024-01-19,Brand Awareness,paid_search,Bing,Our Story,9629,483,206.18,121,32,3221.62
2024-01-19,Brand Awareness,Paid Search,bing,Why Choose Us,10366,527,236.72,131,29,3871.22
2024-01-19,Brand Awareness,paid_social,Facebook,Hero Brand,51952,919,510.59,1670,18,1518.14
2024-01-19,Brand Awareness,Paid Social,Facebook,Our Story,866,43599,422.63,1717,24,1824.11
2024-01-19,Branding,Paid Social,Facebook,Why Choose Us,47726,928,474.62,1580,28,1993.27
2024-01-19,Brand Awareness,Paid Social,Instagram,Hero Brand,31934,561,334.02,1367,12,1097.72
2024-01-19,Brand Awareness,paid_social,Instagram,Our Story,560,35657,349.75,1248,13,908.68
2024-01-19,Brand Awareness,paid social,Instagram,Why Choose Us,34139,653,326.28,1301,20,1816.48
2024-01-19,Branding,Paid Social,TT,Hero Brand,18896,302,183.3,864,9,702.92
2024-01-19,Brand Awareness,Paid Social,tiktok,Our Story,385,20032,209.97,799,8,671.43
2024-01-19,brand_awareness,Paid Social,TikTok,Why Choose Us,21396,401,212.22,675,10,891.14
2024-01-19,Brand Awareness,Display,Google Display Network,Hero Brand,116731,524,443.7500029912375,502,5,373.38
2024-01-19,Branding,Display,Google Display Network,Our Story,122926,666,513.96,562,9,590.71
2024-01-19,Brand Awareness,Display,Google Display Network,Why Choose Us,712,121202,478.16,476,6,382.13
2024-01-19,brand_awareness,Display,The Trade Desk,Hero Brand,76336,339,307.96,432,2,123.68006248224714
2024-01-19,Brand Awareness,Display,The Trade Desk,Our Story,329,74547,309.68,413,3,219.53
2024-01-19,Brand Awareness,Display,TTD,Why Choose Us,306,74175,306.87,447,2,151.67
2024-01-19,Brand Awareness,eMail,Mailchimp,Hero Brand,17884,4144,25.78,1786,153,13543.0
2024-01-19,Brand Awareness,eMail,Mailchimp,Our Story,19787,4395,30.99,2009,239,25571.07
2024-01-19,Brand Awareness,Email,Mailchimp,Why Choose Us,20092,3559,29.07,1996,175,15246.07
2024-01-19,Brand Awareness,Email,Klaviyo,Hero Brand,14629,2933,22.160003546812625,1485,104,8624.76
2024-01-19,Brand Awareness,Email,Klaviyo,Our Story,15490,2888,23.32,1454,108,8978.46
2024-01-19,Brand Awareness,Email,Klaviyo,Why Choose Us,16139,3844,25.06,1633,198,17349.96
2024-01-19,Brand Awareness,online video,YT,Hero Brand,90178,713,1649.74,17992,11,1206.59
2024-01-19,Brand Awareness,VIDEO,youtube,Our Story,103740,832,1867.0600007568798,25981,11,1079.55
2024-01-19,Brand Awareness,Video Ads,YouTube,Why Choose Us,104929,904,1887.7400008143175,23657,13,1493.55
2024-01-19,Brand Awareness,Video,Connected TV,Hero Brand,55068,367,963.42,11957,7,691.7
19-01-2024,Brand Awareness,Video,Connected TV,Our Story,51467,469,933.02,15981,6,621.28
2024-01-19,Brand Awareness,Video Ads,Connected TV,Why Choose Us,49243,334,881.46,11625,5,504.68
2024-01-20,New Year Push,Paid Search,Google Ads,Fresh Start,28065,1256,615.43,321,92,10260.07
2024-01-20,New Year Push,Paid Search,Google,Countdown Offer,1078,26503,567.54,341,61,6296.27
2024-01-20,New Year Push,Paid Search,Google,Resolution Ready,29515,1363,658.66,404,106,11001.07
2024-01-20,New Year Push,Paid Search,Microsoft Ads,Fresh Start,6901,264,147.27,70,14,1554.23
2024-01-20,New Year Push,paid search,Bing,Countdown Offer,8274,405,177.92,109,32,4340.590007904285
2024-01-20,New Year Push,paid_search,BING,Resolution Ready,8158,407,186.88,73,22,2847.01
2024-01-20,New Year Push,Paid Social,Facebook,Fresh Start,61420,1067,608.41,2427,30,2439.34
2024-01-20,NY Push,paid social,Facebook,Countdown Offer,57687,1135,556.64,2079,24,2115.09
2024-01-20,New Year Push,Paid Social,Facebook,Resolution Ready,57160,1034,587.95,2451,30,2431.51
2024-01-20,New Year Push,Paid Social,Instagram,Fresh Start,42310,710,409.89,1824,20,1497.12
2024-01-20,New Year Push,Paid Social,Instagram,Countdown Offer,39065,717,385.76000071504336,1541,14,1300.69
2024-01-20,NY Push,Paid Social,Instagram,Resolution Ready,34887,698,360.53,1219,17,1471.69
2024-01-20,New Year Push,Paid Social,TikTok,Fresh Start,22237,440,223.21,771,8,712.16
2024-01-20,NY Push,Paid Social,TIKTOK,Countdown Offer,395,25072,262.07,871,11,929.87
2024-01-20,New Year,Paid Social,TikTok,Resolution Ready,23354,475,244.75,756,11,911.33
2024-01-20,New Year Push,DISPLAY,Google Display,Fresh Start,109402,469,440.65,533,6.0,379.2800006867077
2024-01-20,New Year Push,Display,Google Display Network,Countdown Offer,107017,545,408.04,585,6,391.4
2024-01-20,New Year,Display,Google Display Network,Resolution Ready,106029,618,414.95,459,8,501.69
2024-01-20,New Year Push,Display,Trade Desk,Fresh Start,64776,326,250.6,382,3,193.78
2024-01-20,New Year Push,DISPLAY,The Trade Desk,Countdown Offer,332,65703,262.24,257,5,399.5
2024-01-20,New Year Push,Display,TTD,Resolution Ready,295,66037,262.36,364,3,222.72
2024-01-20,New Year Push,email,Mailchimp,Fresh Start,12239,2651,18.36,1096,96,7854.18
2024-01-20,NewYearPush,Email,MailChimp,Countdown Offer,10122,1791,15.03,957,76,8194.070000583248
2024-01-20,New Year Push,Email,mail chimp,Resolution Ready,12080,2500,18.26,1108,91,9734.510008003479
2024-01-20,New Year Push,Email,Klaviyo,Fresh Start,8964,2018,13.73,660,90,9443.48
2024-01-20,New Year,Email,KLAVIYO,Countdown Offer,8352,1595,13.03,764,65,7009.08
2024-01-20,NY Push,Email,Klaviyo,Resolution Ready,8370,1801,12.42,839,63,6720.31
2024-01-20,NewYearPush,Video,YT,Fresh Start,85485,715,1506.71,26336,12,1305.67
20-01-2024,NY Push,Video,YouTube,Countdown Offer,84259,672,1591.3400042866572,22053,13,1157.55
2024-01-20,new_year_push,Video,YouTube,Resolution Ready,81829,717,1447.3,20354,9,919.67
2024-01-20,New Year Push,Video,Connected TV,Fresh Start,48231,326,885.04,13834,4,438.11
20-01-2024,New Year Push,Video,Connected TV,Countdown Offer,52829,406,904.4,10876,8,773.68
2024-01-20,New Year Push,Video,ctv,Resolution Ready,51578,410,888.32,13470,5.0,578.85
2024-01-20,Brand Awareness,paid search,GOOGLE,Hero Brand,24918,1278,566.92,249,56,5816.060003945816
2024-01-20,Brand Awareness,PaidSearch,Google,Our Story,25925,1207,564.12,245,86,10688.03
2024-01-20,Brand Awareness,Paid Search,Google,Why Choose Us,25005,1091,534.52,230,74,7988.470012901598
2024-01-20,Brand Awareness,paid search,Bing,Hero Brand,8055,415,182.73,103,29,3829.57
2024-01-20,Brand Awareness,Paid Search,Bing,Our Story,7490,320,157.4,67,23,2931.48
2024-01-20,Brand Awareness,Paid Search,Bing,Why Choose Us,372,8484,181.77,81,21,2841.74
2024-01-20,Brand Awareness,Paid Social,Facebook,Hero Brand,55264,884,561.98,1806,28,2500.52
2024-01-20,Brand Awareness,Paid Social,Facebook,Our Story,62074,983,600.07,2259,19,1477.21
01.20.2024,Brand Awareness,Paid Social,facebook,Why Choose Us,58369,933,566.5900007140984,2264,30,2180.15
2024-01-20,Brand Awareness,Paid Social,IG,Hero Brand,628,36824,356.22,1330,14,1109.84
2024-01-20,Brand Awareness,Paid Social,Instagram,Our Story,39148,594,403.81,1599,14,998.99
2024-01-20,Brand Awareness,Paid Social,Instagram,Why Choose Us,36869,616,372.34,1739,12,994.68
2024-01-20,Brand Awareness,paid social,TT,Hero Brand,25445,515,246.09,1188,14,1313.8
2024-01-20,Brand Awareness,Paid Social,TT,Our Story,456,23838,249.64,993,10,853.3
2024-01-20,brand awareness,Paid Social,Tik Tok,Why Choose Us,418,24863,257.37,936,9,762.03
2024-01-20,BrandAwareness,Display,google_display_network,Hero Brand,120660,577,489.4300521500678,522,7,577.84
2024-01-20,brand awareness,Display,Google Display Network,Our Story,576,110658,460.19,500,7,542.9
2024-01-20,Brand Awareness,Display,Google Display Network,Why Choose Us,121645,511,480.47,546,4,262.46
2024-01-20,Brand Awareness,Display,The Trade Desk,Hero Brand,64436,371,260.27,394,5,341.5
2024-01-20,Brand Awareness,display ads,The Trade Desk,Our Story,68614,360,281.61,346,5,375.99
2024-01-20,Brand Awareness,Display,The Trade Desk,Why Choose Us,284,68794,284.72,314,2,145.7
2024-01-20,Brand Awareness,Email,Mailchimp,Hero Brand,12152,2703,17.77,1089,128,12686.36
2024-01-20,Brand Awareness,Email,Mailchimp,Our Story,10757,2113,16.04,664,108,9030.48
2024-01-20,Brand Awareness,Email Marketing,Mailchimp,Why Choose Us,10255,2257,14.83,716,71,7005.41
2024-01-20,Brand Awareness,Email,Klaviyo,Hero Brand,9779,2372,14.28,632,113,10234.430000189446
01/20/2024,Brand Awareness,Email,Klaviyo,Our Story,9541,1819,13.85,684,66,6237.67
2024-01-20,Brand Awareness,Email,KLAVIYO,Why Choose Us,1803,9354,14.43,605,97,9027.740001165652
2024-01-20,Brand Awareness,Video,YouTube,Hero Brand,83186,651,1498.14,23704,12.0,1341.36
2024-01-20,Brand Awareness,online video,YT,Our Story,96762,640,1721.0600518364092,29042,11,1263.89
2024-01-20,Brand Awareness,Video,YouTube,Why Choose Us,92458,647,1701.96,20715,10.0,1005.8000653784596
2024-01-20,Brand Awareness,Video,Connected TV,Hero Brand,392,47215,813.49,9852,6.0,548.61
2024-01-20,Brand Awareness,online video,Connected TV,Our Story,45047,297,810.9,12781,4,460.1
2024-01-20,Brand Awareness,Video,Connected TV,Why Choose Us,53816,503,956.4,13651,8.0,837.62
2024-01-21,New Year Push,paid search,Goog,Fresh Start,1025,26725,612.74,302,66,7073.59
2024-01-21,New Year Push,SEM,Google,Countdown Offer,26906,1128,616.38,358,70,8231.8
2024-01-21,New Year Push,Paid Search,Google,Resolution Ready,28560,1406,637.8000029556315,415,99,10779.05
2024-01-21,New Year Push,Paid Search,Bing,Fresh Start,6845,350,152.56,89,24,2955.48
2024-01-21,New Year Push,paid search,Bing,Countdown Offer,7265,328,162.72,76,21,2813.85
2024-01-21,New Year Push,paid search,Bing,Resolution Ready,8338,316,188.41003981793713,107,24,2745.06
2024-01-21,New Year Push,Paid Social,Facebook,Fresh Start,58811,1211,589.2,1887,30,2703.36
21-01-2024,New Year Push,Paid Social,FACEBOOK,Countdown Offer,54202,906,567.37,2222,21,1622.8
2024-01-21,New Year Push,PaidSocial,Facebook,Resolution Ready,56397,1152,576.81,1702,32,2841.81
2024-01-21,New Year Push,Paid Social,Instagram,Fresh Start,38134,598,390.83,1760,14,1081.91
2024-01-21,New Year Push,PaidSocial,Instagram,Countdown Offer,44244,887,420.39,1319,25,2065.35
2024-01-21,new_year_push,Paid Social,INSTAGRAM,Resolution Ready,41083,801,397.3,1463,23,1715.1400541110447
2024-01-21,New Year Push,paid social,TikTok,Fresh Start,21067,440,209.63,926,9,640.36
2024-01-21,New Year,Paid Social,TikTok,Countdown Offer,21071,414,205.64,961,10,851.2
2024-01-21,New Year Push,Paid Social,TIKTOK,Resolution Ready,23489,478,227.05,800,11.0,841.59
2024-01-21,New Year Push,Display,google display,Fresh Start,113979,587,454.91,619,5,312.59
2024-01-21,New Year Push,Banner,Google Display,Countdown Offer,125626,516,506.65,781,4,289.93
01/21/2024,New Year Push,Display,Google Display Network,Resolution Ready,104458,541,438.18,590,8,571.37
2024-01-21,New Year Push,Display,Trade Desk,Fresh Start,69769,339,275.47,416,5,394.22
2024-01-21,New Year Push,Display,TTD,Countdown Offer,425,80294,317.27,312,4,273.33
2024-01-21,New Year Push,Display,The Trade Desk,Resolution Ready,65641,323,267.77,365,4,256.8000164815797
2024-01-21,New Year Push,Email,Mailchimp,Fresh Start,11364,2703,16.67,1024,134,12356.24
2024-01-21,New Year Push,Email,Mailchimp,Countdown Offer,11408,2532,17.07,894,86,9460.17
2024-01-21,New Year Push,Email,Mailchimp,Resolution Ready,12311,2876,17.57,938,87,9122.62
2024-01-21,New Year Push,Email,Klaviyo,Fresh Start,8696,1789,13.18,677,80,6715.47
2024-01-21,New Year Push,Email,Klaviyo,Countdown Offer,8919,2163,13.95,909,110,11843.68
